page,pipeline,model_combo,final_axis1,final_axis2,final_combined,axis2_match,axis2_similarity,axis2_fraction,config,row_count_score,type_count_score,header_text_score,amount_match_score,amount_similarity_score,fraction_match_score,supervisor_model,extractor_models
1850_4,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.4444,0.9844,0.8224,0.9697,0.9986,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,0.3333,0.0,0.9697,0.9986,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1850_4,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.5521,0.9686,0.8437,0.9394,0.9964,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.6562,0.0,0.9394,0.9964,1.0,gemini-flash,gpt-5-mini|claude-haiku
1850_4,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.5458,0.9844,0.8528,0.9697,0.9986,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9706,0.6667,0.0,0.9697,0.9986,1.0,gemini-flash,gemini-flash|gpt-5-mini
1855_7,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,1.0,0.9589,0.9712,0.9412,0.9612,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,1.0,0.9412,0.9612,1.0,gemini-flash,gemini-flash|claude-haiku
1855_7,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9421,0.9595,0.9118,0.9542,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.9118,0.9542,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1855_7,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9485,0.9639,0.9118,0.9753,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,0.9118,0.9753,1.0,gemini-flash,gpt-5-mini|claude-haiku
1855_7,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,1.0,0.9653,0.9757,0.9412,0.9822,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,1.0,0.9412,0.9822,1.0,gemini-flash,gemini-flash|gpt-5-mini
1860_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8398,0.8785,0.8669,0.8095,0.9125,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.7917,0.7278,1.0,0.8095,0.9125,1.0,gemini-flash,gemini-flash|claude-haiku
1860_1,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.6972,0.8624,0.8128,0.8095,0.8587,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.7917,0.6333,0.6667,0.8095,0.8587,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1860_1,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,0.9282,0.9497,0.8571,0.9989,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,0.8571,0.9989,1.0,gemini-flash,gpt-5-mini|claude-haiku
1860_1,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8593,0.8645,0.8629,0.8095,0.8659,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.8333,0.7444,1.0,0.8095,0.8659,1.0,gemini-flash,gemini-flash|gpt-5-mini
1865_3,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.5968,0.774,0.7208,0.5781,0.9496,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.5,0.2903,1.0,0.5781,0.9496,1.0,gemini-flash,gemini-flash|claude-haiku
1865_3,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.587,0.774,0.7179,0.5781,0.9496,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.4706,0.2903,1.0,0.5781,0.9496,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1865_3,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8255,0.7899,0.8006,0.6094,0.9507,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.8529,0.6237,1.0,0.6094,0.9507,1.0,gemini-flash,gpt-5-mini|claude-haiku
1865_3,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8389,0.7705,0.791,0.5781,0.9381,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.8824,0.6344,1.0,0.5781,0.9381,1.0,gemini-flash,gemini-flash|gpt-5-mini
1869_8,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.988,0.5414,0.6754,0.4143,0.8918,0.3333,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9737,0.9902,1.0,0.4143,0.8918,0.3333,gemini-flash,gemini-flash|claude-haiku
1869_8,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.9412,0.6878,0.7638,0.5571,0.9197,0.6667,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,0.8235,1.0,0.5571,0.9197,0.6667,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1869_8,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8889,0.7574,0.7969,0.6857,0.9375,0.6667,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.6667,1.0,0.6857,0.9375,0.6667,gemini-flash,gpt-5-mini|claude-haiku
1869_8,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.9412,0.6228,0.7183,0.4429,0.8934,0.6667,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,0.8235,1.0,0.4429,0.8934,0.6667,gemini-flash,gemini-flash|gpt-5-mini
1873_5,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.6518,0.7015,0.6866,0.6571,0.9099,0.5,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.975,0.7804,0.2,0.6571,0.9099,0.5,gemini-flash,gemini-flash|claude-haiku
1873_5,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.5629,0.6944,0.6549,0.6429,0.9099,0.5,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.975,0.5137,0.2,0.6429,0.9099,0.5,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1873_5,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.6634,0.6873,0.6801,0.6143,0.9339,0.5,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.5902,0.4,0.6143,0.9339,0.5,gemini-flash,gpt-5-mini|claude-haiku
1873_5,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.5523,0.6945,0.6518,0.6429,0.9103,0.5,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,0.4569,0.2,0.6429,0.9103,0.5,gemini-flash,gemini-flash|gpt-5-mini
1881_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.6124,0.5568,0.5735,0.5833,0.8838,0.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.931,0.7061,0.2,0.5833,0.8838,0.0,gemini-flash,gemini-flash|claude-haiku
1881_1,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.6672,0.7986,0.7592,0.6667,0.8841,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.8621,0.9394,0.2,0.6667,0.8841,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1881_1,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.6672,0.7587,0.7312,0.75,0.9455,0.5,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.8621,0.9394,0.2,0.75,0.9455,0.5,gemini-flash,gpt-5-mini|claude-haiku
1881_1,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.6672,0.6568,0.6599,0.5833,0.8839,0.5,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.8621,0.9394,0.2,0.5833,0.8839,0.5,gemini-flash,gemini-flash|gpt-5-mini
1889_4,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.7976,0.9326,0.8921,0.8673,0.9965,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9828,0.5528,0.8571,0.8673,0.9965,1.0,gemini-flash,gemini-flash|claude-haiku
1889_4,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8668,0.9336,0.9136,0.8673,0.9999,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,0.6004,1.0,0.8673,0.9999,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1889_4,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.9258,0.885,0.8972,0.7857,0.9739,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.9483,0.8291,1.0,0.7857,0.9739,1.0,gemini-flash,gpt-5-mini|claude-haiku
1889_4,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.9758,0.9683,0.9706,0.9388,0.9965,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,0.9274,1.0,0.9388,0.9965,1.0,gemini-flash,gemini-flash|gpt-5-mini
1895_2,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8981,0.9557,0.9384,0.9167,0.9912,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,0.8611,0.8333,0.9167,0.9912,1.0,gemini-flash,gemini-flash|claude-haiku
1895_2,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8568,0.9724,0.9377,0.95,0.9912,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9444,0.7927,0.8333,0.95,0.9912,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1895_2,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8846,0.9917,0.9596,0.9833,1.0,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.9722,0.8483,0.8333,0.9833,1.0,1.0,gemini-flash,gpt-5-mini|claude-haiku
1895_2,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8846,0.9557,0.9344,0.9167,0.9912,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9722,0.8483,0.8333,0.9167,0.9912,1.0,gemini-flash,gemini-flash|gpt-5-mini
1900_6,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.5167,0.8738,0.7667,0.7647,0.9714,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.55,0.6667,0.3333,0.7647,0.9714,1.0,gemini-flash,gemini-flash|claude-haiku
1900_6,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.5,0.8738,0.7617,0.7647,0.9714,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.5,0.6667,0.3333,0.7647,0.9714,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1900_6,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.55,0.9705,0.8444,0.9412,0.9996,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.65,0.6667,0.3333,0.9412,0.9996,1.0,gemini-flash,gpt-5-mini|claude-haiku
1900_6,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.5,0.8738,0.7617,0.7647,0.9714,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.5,0.6667,0.3333,0.7647,0.9714,1.0,gemini-flash,gemini-flash|gpt-5-mini
