file_name,file_type,file_label,label_start_year,label_end_year,best_guess_start_date,best_guess_end_date,time_interpretation,time_basis,evidence_level,needs_recheck,recheck_priority,notes
1816.pdf,single_year,1816,1816,1816,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1817.pdf,single_year,1817,1817,1817,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1818.pdf,single_year,1818,1818,1818,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1819.pdf,single_year,1819,1819,1819,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1820.pdf,single_year,1820,1820,1820,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1821.pdf,single_year,1821,1821,1821,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1822.pdf,single_year,1822,1822,1822,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1823.pdf,single_year,1823,1823,1823,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1824.pdf,single_year,1824,1824,1824,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1825.pdf,single_year,1825,1825,1825,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1826.pdf,single_year,1826,1826,1826,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1827.pdf,single_year,1827,1827,1827,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1828.pdf,single_year,1828,1828,1828,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1829.pdf,single_year,1829,1829,1829,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1830.pdf,single_year,1830,1830,1830,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1831.pdf,single_year,1831,1831,1831,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1832.pdf,single_year,1832,1832,1832,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1833.pdf,single_year,1833,1833,1833,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1834.pdf,single_year,1834,1834,1834,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1835.pdf,single_year,1835,1835,1835,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1836.pdf,single_year,1836,1836,1836,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1837.pdf,single_year,1837,1837,1837,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1838.pdf,single_year,1838,1838,1838,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1839.pdf,single_year,1839,1839,1839,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1840.pdf,single_year,1840,1840,1840,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1841.pdf,single_year,1841,1841,1841,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1842.pdf,single_year,1842,1842,1842,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1843.pdf,single_year,1843,1843,1843,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1844.pdf,single_year,1844,1844,1844,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1845.pdf,single_year,1845,1845,1845,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1846.pdf,single_year,1846,1846,1846,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1847.pdf,single_year,1847,1847,1847,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1848.pdf,single_year,1848,1848,1848,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1849.pdf,single_year,1849,1849,1849,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1850.pdf,single_year,1850,1850,1850,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1851.pdf,single_year,1851,1851,1851,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1852.pdf,single_year,1852,1852,1852,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1853.pdf,single_year,1853,1853,1853,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1854.pdf,single_year,1854,1854,1854,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1855.pdf,single_year,1855,1855,1855,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1856.pdf,single_year,1856,1856,1856,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1857.pdf,single_year,1857,1857,1857,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1858.pdf,single_year,1858,1858,1858,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1859.pdf,single_year,1859,1859,1859,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1860.pdf,single_year,1860,1860,1860,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1861.pdf,single_year,1861,1861,1861,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1862.pdf,single_year,1862,1862,1862,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1863.pdf,single_year,1863,1863,1863,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1864.pdf,single_year,1864,1864,1864,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1865.pdf,single_year,1865,1865,1865,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1866.pdf,single_year,1866,1866,1866,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1867.pdf,single_year,1867,1867,1867,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1868.pdf,single_year,1868,1868,1868,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1869.pdf,single_year,1869,1869,1869,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1870.pdf,single_year,1870,1870,1870,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1871.pdf,single_year,1871,1871,1871,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1872.pdf,single_year,1872,1872,1872,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1873.pdf,single_year,1873,1873,1873,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1876.pdf,single_year,1876,1876,1876,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1877.pdf,single_year,1877,1877,1877,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1878.pdf,single_year,1878,1878,1878,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1879.pdf,single_year,1879,1879,1879,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1880.pdf,single_year,1880,1880,1880,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1881.pdf,single_year,1881,1881,1881,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1882.pdf,single_year,1882,1882,1882,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1883.pdf,single_year,1883,1883,1883,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1884.pdf,single_year,1884,1884,1884,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1885.pdf,single_year,1885,1885,1885,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1886.pdf,single_year,1886,1886,1886,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1889.pdf,single_year,1889,1889,1889,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1891.pdf,single_year,1891,1891,1891,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1892.pdf,single_year,1892,1892,1892,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1893.pdf,single_year,1893,1893,1893,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1894.pdf,single_year,1894,1894,1894,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1895.pdf,single_year,1895,1895,1895,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1896.pdf,single_year,1896,1896,1896,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1897.pdf,single_year,1897,1897,1897,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1898.pdf,single_year,1898,1898,1898,,,later-period annual/reporting volume; exact start/end bounds not recovered from current first-page check,file label plus limited spot-checks of later-period page structure,low,yes,high,Later volumes appear structurally different from early title-page accounts; precise dating likely needs title-page or internal-page audit.
1899.pdf,single_year,1899,1899,1899,,1899-12-31,appears to be a calendar-year or year-end general account ending 31 Dec. 1899,visual heading on first page,medium,recommended,medium,First-page heading reads approximately 'To Dec. 31th 1899. Receipts General Acct'.
1900.pdf,single_year,1900,1900,1900,,1900-12-31,appears to be a calendar-year or year-end general account ending 31 Dec. 1900,visual heading on first page,medium,recommended,medium,"First-page heading reads approximately 'To Dec. 31th 1900. Receipts General Acct'."
